"","all_trips_v2$member_casual","all_trips_v2$day_of_week_2","all_trips_v2$ride_length"
"1","casual","Sunday",1648.57748757444
"2","member","Sunday",876.524393942207
"3","casual","Monday",1433.72406385913
"4","member","Monday",748.629344706817
"5","casual","Tuesday",1314.13262114729
"6","member","Tuesday",744.312657506349
"7","casual","Wednesday",1229.4219602668
"8","member","Wednesday",737.464159822654
"9","casual","Thursday",1266.6735422971
"10","member","Thursday",739.145845382294
"11","casual","Friday",1420.10662499768
"12","member","Friday",782.59584423892
"13","casual","Saturday",1612.34030613846
"14","member","Saturday",873.333425043718
